game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals
NLL_2019_SEASON_TOTAL,,,1,,,,5.0,9.0,6.0,10.0,11.0,,
NLL_2021_SEASON_TOTAL,,,1,,,,23.0,17.0,17.0,9.0,40.0,,
NLL_2022_SEASON_TOTAL,,,1,,,,23.0,17.0,29.0,14.0,52.0,3.0,3.0
