game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
FOOTBALL_CFL_2017_7_29_HAM@CGY,2017-07-29,2017,1,CFL,HAM,CGY,,,,,,,,,,,,,,8.0,8.0,1.0,26.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,,,,,,,,,,,,8.0,16.0,,43.0,,,,,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,1.0,1.0,,,,12.0,3.0,4.0,13.0,14.0,,,,11.0,13.0,1.0,40.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,,,-1.0,1.0,1.0,-1.0,-1.0,,,,11.0,10.0,,35.0,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,,,,,,,,,,,3.0,19.0,,21.0,,,,,
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,,,,,19.0,1.0,1.0,18.0,19.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,,,,,6.0,1.0,2.0,6.0,6.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,,,,,15.0,1.0,1.0,12.0,15.0,,,,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2019_8_3_EDM@CGY,2019-08-03,2019,1,CFL,EDM,CGY,,,,,,,,,,,-5.0,,-5.0,3.0,7.0,,11.0,,,,,
FOOTBALL_CFL_2019_8_8_CGY@WPG,2019-08-08,2019,1,CFL,CGY,WPG,,,,,,,,,,,,,,1.0,11.0,,11.0,,,,,
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,,,,,3.0,1.0,1.0,3.0,3.0,,1.0,,5.0,5.0,,16.0,,,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,,,25.0,1.0,1.0,25.0,25.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_EDM,,2022,3,CFL,,,,,,,,,,,,,,,,,,,,0.0,9.0,,,
SYNTHETIC_CFL_2022_W4_EDM,,2022,4,CFL,,,,,0.0,14.0,2.0,,,,,,,,,,,,,0.0,34.0,,,
SYNTHETIC_CFL_2022_W5_EDM,,2022,5,CFL,,,,,0.0,8.0,2.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W6_EDM,2022-07-14,2022,6,CFL,EDM,MTL,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,13.0,,,
SYNTHETIC_CFL_2022_W7_EDM,2022-07-22,2022,7,CFL,WPG,EDM,,,0.0,5.0,1.0,,,,,,,,,,,,,0.0,8.0,,,
SYNTHETIC_CFL_2022_W9_EDM,2022-08-06,2022,9,CFL,EDM,BC,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,12.0,,,
SYNTHETIC_CFL_2022_W10_EDM,2022-08-13,2022,10,CFL,SSK,EDM,,,0.0,6.0,1.0,,,,,,,,,,,,,0.0,38.0,,,
SYNTHETIC_CFL_2022_W11_EDM,2022-08-19,2022,11,CFL,EDM,OTT,,,0.0,12.0,2.0,,,,,,,,,,,,,1.0,53.0,,,
SYNTHETIC_CFL_2022_W15_EDM,2022-09-16,2022,15,CFL,EDM,SSK,,,0.0,3.0,1.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W17_EDM,2022-10-01,2022,17,CFL,MTL,EDM,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,4.0,,,
SYNTHETIC_CFL_2022_W18_EDM,2022-10-08,2022,18,CFL,EDM,WPG,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,47.0,,,
SYNTHETIC_CFL_2025_W1_HAM,2025-06-07,2025,1,CFL,HAM,CGY,,,,2.0,1.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W4_HAM,2025-06-27,2025,4,CFL,MTL,HAM,,,,4.0,1.0,,,,,,,,,,,,,,7.0,,,
SYNTHETIC_CFL_2025_W5_HAM,2025-07-04,2025,5,CFL,HAM,TOR,,,,10.0,1.0,,,,,,,,,,,,,,14.0,,,
SYNTHETIC_CFL_2025_W6_HAM,2025-07-12,2025,6,CFL,OTT,HAM,,,,5.0,1.0,,,,,,,,,,,,,,14.0,,,
SYNTHETIC_CFL_2025_W7_HAM,2025-07-20,2025,7,CFL,HAM,OTT,,,,,,,,,,,,,,,,,,1.0,7.0,,,
SYNTHETIC_CFL_2025_W14_HAM,2025-09-06,2025,14,CFL,HAM,MTL,,,,,,,,,,,,,,,,,,,6.0,,,
SYNTHETIC_CFL_2025_W16_HAM,2025-09-20,2025,16,CFL,EDM,HAM,,,,6.0,1.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W17_HAM,2025-09-27,2025,17,CFL,HAM,WPG,,,,21.0,2.0,,,,,,,,,,,,,,6.0,,,
SYNTHETIC_CFL_2025_W18_HAM,2025-10-04,2025,18,CFL,HAM,TOR,,,,4.0,1.0,,,,,,,,,,,,,,4.0,,,
