game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_W2_TOR,,,2,CFL,,,,,,0.0,1.0
SYNTHETIC_CFL_W6_TOR,2022-07-16,,6,CFL,SSK,TOR,0.0,24.0,3.0,,
SYNTHETIC_CFL_W8_TOR,2022-07-31,,8,CFL,OTT,TOR,1.0,39.0,2.0,,
SYNTHETIC_CFL_W9_TOR,2022-08-06,,9,CFL,HAM,TOR,0.0,15.0,1.0,,
SYNTHETIC_CFL_W10_TOR,2022-08-12,,10,CFL,TOR,HAM,0.0,27.0,2.0,,
SYNTHETIC_CFL_W11_TOR,2022-08-20,,11,CFL,CGY,TOR,0.0,19.0,2.0,,
SYNTHETIC_CFL_W14_TOR,2022-09-10,,14,CFL,TOR,OTT,0.0,49.0,6.0,,
SYNTHETIC_CFL_W16_TOR,2022-09-24,,16,CFL,TOR,OTT,0.0,0.0,0.0,0.0,6.0
SYNTHETIC_CFL_W17_TOR,2022-10-01,,17,CFL,TOR,CGY,0.0,0.0,0.0,,
SYNTHETIC_CFL_W18_TOR,2022-10-08,,18,CFL,BC,TOR,0.0,18.0,3.0,,
SYNTHETIC_CFL_W20_TOR,2022-10-22,,20,CFL,TOR,MTL,0.0,23.0,3.0,,
