game_id,date,season,week,league,away,home,pr_fc,pr_long,pr_yards,punt_returns,receiving_tds,receiving_yards,receptions,ret_lg,ret_num,ret_yds,rush_attempts,rushing_yards,targets
FOOTBALL_CFL_2018_7_21_MTL@CGY,2018-07-21,2018,1,CFL,MTL,CGY,,,,,,,,25.0,2.0,43.0,,,
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,1.0,6.0,6.0,2.0,,64.0,4.0,,,,,,3.0
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,,11.0,31.0,5.0,1.0,50.0,9.0,,,,1.0,1.0,4.0
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,2.0,9.0,9.0,1.0,,25.0,3.0,,,,,,1.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,,9.0,11.0,2.0,1.0,71.0,5.0,,,,,,4.0
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,,15.0,16.0,2.0,,-1.0,2.0,,,,,,
