game_id,date,season,week,league,away,home,award_mvp
FOOTBALL_XLEAGUE_2023_SEASON_TOTAL,,2023,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2025_SEASON_TOTAL,,2025,1,XLEAGUE,,,1.0
