game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_tackles,gp,pr_no,pr_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,4.0,9.0,44.0,11.0,14.0,124.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,10.0,31.0,9.0,19.0,259.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,4.0,4.0,32.0,8.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,,16.0,9.0,,
