game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W1_EMPIRE,,2022,1,AUDL,,,0.0,1.0,,,0.0,1.0,,,1.0,143.0,-6.0
SYNTHETIC_AUDL_2022_W2_EMPIRE,,2022,2,AUDL,,,0.0,1.0,,,1.0,0.0,,,0.0,50.0,42.0
SYNTHETIC_AUDL_2022_W3_EMPIRE,,2022,3,AUDL,,,1.0,1.0,,,0.0,0.0,,,0.0,38.0,37.0
2022-06-18-OTT-NY,2022-06-18,2022,4,,OTT,NY,2.0,0.0,,,0.0,0.0,,,0.0,20.0,68.0
2022-07-01-MTL-NY,2022-07-01,2022,6,,MTL,NY,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-09-BOS-NY,2022-07-09,2022,7,AUDL,glory,empire,1.0,0.0,,,0.0,2.0,,,0.0,105.0,49.0
2022-07-22-NY-PHI,2022-07-22,2022,9,AUDL,empire,phoenix,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2023-05-05-TOR-NY,2023-05-05,2023,2,AUDL,TORONTO RUSH,NEW YORK EMPIRE,1.0,,3.0,2.0,,,5.0,2.0,,55.0,1.0
2023-06-02-NY-BOS,2023-06-02,2023,6,AUDL,NEW YORK EMPIRE,BOSTON GLORY,,,1.0,1.0,,,,1.0,,12.0,13.0
2023-07-14-NY-COL,2023-07-14,2023,12,AUDL,NEW YORK EMPIRE,COLORADO SUMMIT,,,2.0,2.0,,,8.0,2.0,0.0,29.0,9.0
2023-07-22-MTL-NY,2023-07-22,2023,13,AUDL,MONTREAL ROYAL,NEW YORK EMPIRE,,2.0,2.0,1.0,,1.0,,1.0,,16.0,3.0
