game_id,date,season,week,league,away,home,assisted_tackles,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,solo_tackles,tackles
FOOTBALL_IFL_2026_6_13_TNEWMEXICOCHUPACABRASG20260613T2YA@TSANANTONIOGUNSLINGERS,2026-06-13,2026,14,IFL,New Mexico Chupacabras,San Antonio Gunslingers,,7.5,9.0,0.0,15.0,2.0,,
FOOTBALL_IFL_2026_6_21_TNAZWRANGLERSG20260621XMS9@TNEWMEXICOCHUPACABRAS,2026-06-21,2026,15,IFL,NAZ Wranglers,New Mexico Chupacabras,1.0,18.5,22.0,0.0,37.0,2.0,0.0,1.0
