game_id,date,season,week,league,away,home,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
2025-04-25-NY-LV,2025-04-25,2025,1,,NY,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-03-LV-SLC,2025-05-03,2025,2,,LV,SLC,0.0,0.0,0.0,0.0,0.0,-20.0,8.0
2025-05-10-SEA-LV,2025-05-10,2025,3,,SEA,LV,0.0,0.0,0.0,1.0,0.0,23.0,22.0
2025-05-23-ORE-LV,2025-05-23,2025,5,,ORE,LV,0.0,1.0,0.0,0.0,0.0,7.0,2.0
2025-06-06-LV-SEA,2025-06-06,2025,7,,LV,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-07-LV-ORE,2025-06-07,2025,7,,LV,ORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-14-SD-LV,2025-06-14,2025,8,,SD,LV,1.0,1.0,0.0,0.0,1.0,130.0,87.0
2025-06-20-LV-COL,2025-06-20,2025,9,,LV,COL,0.0,0.0,0.0,0.0,1.0,66.0,52.0
2025-06-21-LV-OAK,2025-06-21,2025,9,,LV,OAK,1.0,3.0,1.0,2.0,0.0,83.0,84.0
2025-07-05-SLC-LV,2025-07-05,2025,11,,SLC,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-12-COL-LV,2025-07-12,2025,12,,COL,LV,0.0,1.0,0.0,1.0,4.0,86.0,54.0
2025-07-20-LV-LA,2025-07-20,2025,13,,LV,LA,0.0,1.0,0.0,0.0,0.0,25.0,-10.0
2026-04-25-CAR-LV,2026-04-25,2026,1,,CAR,LV,0.0,0.0,0.0,0.0,2.0,50.0,56.0
