game_id,date,season,week,league,away,home,def_ff,def_fr,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,1.0,11.0,37.0,7.0,1.0,13.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,2.0,,5.5,14.0,12.0,,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,,1.0,9.5,18.0,12.0,,,1.0,12.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,1.0,2.5,15.0,11.0,,,,
