game_id,date,season,week,league,away,home,d_points,o_points,plus_minus,touches,turnovers
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,13.0,13.0,-1.0,7.0,1.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,5.0,4.0,-1.0,5.0,1.0
