game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,61.0,35.0,2.0,7.0,534.0,,,11.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,11.0,156.0,76.0,7.0,5.0,865.0,,,22.0,106.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,84.0,44.0,4.0,2.0,538.0,1.0,8.0,16.0,86.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,5.0,54.0,24.0,5.0,2.0,162.0,,,10.0,45.0
