game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,8.0,1.0,3.0,72.0,1.0,311.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,3.0,,,6.0,,3.0
