game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,46.0,13.0,28.0,17.0,74.0,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,14.0,4.0,12.0,2.0,26.0,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,82.0,19.0,44.0,14.0,126.0,20.0,13.0
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,75.0,18.0,36.0,,111.0,25.0,11.0
