game_id,date,season,week,league,away,home,fumbles,fumbles_lost,games_played,kick_returns,punt_returns,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,rushing_yards_per_game,total_yards,yards_per_game
FOOTBALL_NAL_2021_orlando-predators_SEASON_TOTAL,2021-12-31,,0,,,ORLANDO PREDATORS,1.0,1.0,42.0,0.0,0.0,-1.0,0.0,,,0.0,7.0,-0.1,1.0,0.1,3.8,24.0,,56.0,,7.0,211.0,30.1,210.0,30.0
BILLINGS-ALBANY-0413,2025-04-13,2025,5,AF1,BILLINGS,ALBANY,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,
CORPUSCHRISTI-ALBANY-0425,2025-04-25,2025,7,AF1,CORPUS CHRISTI,ALBANY,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,
ALBANY-SALINA-0504,2025-05-04,2025,8,AF1,SALINA,ALBANY,,,,,,,,,,0.0,22.0,,1.0,,,,,,,0.0,12.0,,,
ALBANY-NASHVILLE-0510,2025-05-10,2025,9,AF1,NASHVILLE,ALBANY,,,,,,,,,,,,,,,,,,,,1.0,18.0,,,
CORPUSCHRISTI-ALBANY-0524,2025-05-24,2025,11,AF1,ALBANY,CORPUS CHRISTI,,,,,,,,,,,,,,,,,,,,0.0,17.0,,,
WASHINGTON-ALBANY-0614,2025-06-14,2025,14,AF1,ALBANY,WASHINGTON,,,,,,,,,,,,,,,,,,,,0.0,27.0,,,
SALINA-ALBANY-0621,2025-06-21,2025,15,AF1,ALBANY,SALINA,,,,,,,,,,,,,,,,,,,,0.0,8.0,,,
NASHVILLE-ALBANY-0628,2025-06-28,2025,16,AF1,ALBANY,NASHVILLE,,,,,,,,,,1.0,11.0,,2.0,,,,,,,0.0,2.0,,,
FOOTBALL_AF1_2026_5_3_T584637G1168212@T584747,2026-05-03,2026,4,AF1,Nashville Kats,Kentucky Barrels,,,,,,,,,,,,,,,1.0,2.0,0.0,2.0,0.0,1.0,1.0,,,
FOOTBALL_AF1_2026_5_9_T584638G1168218@T584637,2026-05-09,2026,5,AF1,Oregon Lightning,Nashville Kats,,,,,,24.0,24.0,0.0,0.0,1.0,24.0,,1.0,,2.0,2.0,0.0,1.0,0.0,1.0,2.0,,,
FOOTBALL_AF1_2026_5_16_T612138G1168221@T584637,2026-05-16,2026,6,AF1,Oceanside Bombers,Nashville Kats,,,,,,11.0,11.0,0.0,0.0,0.0,11.0,,1.0,,6.0,9.0,0.0,4.0,0.0,2.0,22.0,,,
FOOTBALL_AF1_2026_5_22_T584637G1168386@T602555,2026-05-22,2026,7,AF1,Nashville Kats,Minnesota Monsters,,,,,,,,,,,,,,,1.0,1.0,0.0,3.0,0.0,1.0,3.0,,,
