game_id,date,season,week,league,away,home,def_ff,def_pd,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,1.0,19.0,8.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,1.0,4.0
