game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,pass_defended,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,tackles
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,,,26.0,3.0,,55.0,
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,0.0,0.0,,,1.0,49.0,4.0,,32.0,1.0
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,0.0,1.0,,,,26.0,2.0,1.0,89.0,
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,,,29.0,3.0,,79.0,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,1.0,,29.0,4.0,,71.0,
SYNTHETIC_XFL_2023_W6_BATTLEHAWKS,2023-03-25,2023,6,XFL,VIPERS,BATTLEHAWKS,0.0,0.0,,,,,,,,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,2.0,,,28.0,3.0,,53.0,
SYNTHETIC_XFL_2023_W7_BATTLEHAWKS,2023-04-02,2023,7,XFL,ROUGHNECKS,BATTLEHAWKS,1.0,0.0,,,,,,,,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,1.0,,,37.0,6.0,,35.0,
SYNTHETIC_XFL_2023_W8_BATTLEHAWKS,2023-04-08,2023,8,XFL,BATTLEHAWKS,VIPERS,,1.0,,,,,,,,
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,,,,,,11.0,
