game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2019_11_2_EDM@SSK,2019-11-02,2019,1,CFL,EDM,SSK,,,,,11.0,1.0,2.0,,10.0,11.0,,,,,
FOOTBALL_CFL_2019_6_27_EDM@WPG,2019-06-27,2019,1,CFL,EDM,WPG,,,,,11.0,1.0,1.0,,5.0,11.0,,,,,
FOOTBALL_CFL_2019_7_20_EDM@MTL,2019-07-20,2019,1,CFL,EDM,MTL,,,,,,,1.0,,,,,,,,
FOOTBALL_CFL_2019_8_9_OTT@EDM,2019-08-09,2019,1,CFL,OTT,EDM,,,,,11.0,1.0,1.0,,8.0,11.0,,,,,
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,,,6.0,1.0,1.0,,3.0,6.0,,,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,,,,1.0,1.0,1.0,1.0,5.0,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,,,,,,1.0,,,,,,,,
FOOTBALL_CFL_2022_6_11_EDM@BC,2022-06-11,2022,1,CFL,EDM,BC,,,,,13.0,1.0,1.0,,12.0,13.0,,,,,
FOOTBALL_CFL_2022_8_19_EDM@OTT,2022-08-19,2022,1,CFL,EDM,OTT,,,,,8.0,1.0,1.0,,8.0,8.0,,,,,
FOOTBALL_CFL_2022_8_6_EDM@BC,2022-08-06,2022,1,CFL,EDM,BC,,,,,11.0,1.0,1.0,,9.0,11.0,,,,,
FOOTBALL_CFL_2022_9_10_CGY@EDM,2022-09-10,2022,1,CFL,CGY,EDM,,,,,,1.0,1.0,1.0,16.0,17.0,,1.0,6.0,1.0,
SYNTHETIC_CFL_2022_W1_EDM,,2022,1,CFL,,,,0.0,13.0,1.0,,,,,,,,,,,
6245,2022-08-06,2022,9,CFL,EDM,BC,,0.0,11.0,1.0,,,,,,,,,,,
6250,2022-08-19,2022,11,CFL,EDM,OTT,,0.0,8.0,1.0,,,,,,,,,,,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,0.0,,,,,,,,,,0.0,,,,0.0
9889337,2023-09-09,2023,14,CFL,CGY,EDM,0.0,,,,,,,,,,0.0,,,,0.0
9889339,2023-09-15,2023,15,CFL,EDM,SSK,0.0,,,,,,,,,,0.0,,,,0.0
9889343,2023-09-22,2023,16,CFL,BC,EDM,0.0,,,,,,,,,,0.0,,,,0.0
9889350,2023-10-06,2023,18,CFL,EDM,TOR,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,0.0
10798039,2024-07-14,2024,6,CFL,OTT,EDM,,0.0,0.0,0.0,,,,,,,,,,,
11824064,2025-07-06,2025,5,CFL,OTT,EDM,,0.0,18.0,1.0,,,,,,,,,,,
11824073,2025-07-25,2025,8,CFL,EDM,SSK,,0.0,5.0,1.0,,,,,,,,,,,
11824089,2025-08-22,2025,12,CFL,EDM,OTT,,0.0,33.0,3.0,,,,,,,,,,,
