game_id,date,season,week,league,away,home,def_ff,def_pd,def_tackles,gp,pr_no,pr_yds,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,10.0,,,3.0,20.0,21.0,40.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,9.0,1.0,7.0,4.0,75.0,2.0,11.0,20.0,44.0
