game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,6.0,16.0,19.0,1.0,52.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,12.0,,,
