game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,8.0,,,4.0,64.0,16.0,1.0,32.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,10.0,1.0,21.0,9.0,70.0,119.0,4.0,643.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,9.0,,,8.0,28.0,80.0,3.0,321.0
