game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,7.0,11.0,5.0,2.0,12.0,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,3.0,12.0,6.0,16.0,9.0,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,17.0,18.0,10.0,2.0,27.0,1.0
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,14.0,18.0,7.0,8.0,21.0,1.0
