game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_defended,pat_made,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_UFL_2024_3_31_DC@SA,2024-03-31,2024,1,UFL,DC,SA,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_14_STL@SA,2024-04-14,2024,3,UFL,STL,SA,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_UFL_2024_4_20_MICH@SA,2024-04-20,2024,4,UFL,MICH,SA,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_UFL_2024_4_27_SA@ARL,2024-04-27,2024,5,UFL,SA,ARL,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
FOOTBALL_UFL_2024_5_5_SA@DC,2024-05-05,2024,6,UFL,SA,DC,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_12_SA@HOU,2024-05-12,2024,7,UFL,SA,HOU,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_NAL_2025_3_8_T425361G979250@T463723,2025-03-09,2025,1,NAL,Sioux City Bandits,Beaumont Renegades,,,,,,,,,,,,,,,26.0,39.0,0.0,2.0,77.0,3.0,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_3_29_SA@ARL,2025-03-29,2025,1,UFL,SA,ARL,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,,,,,,,,,,,,,,,9.0,23.0,0.0,1.0,36.0,4.0,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,12.0,23.0,0.0,0.0,49.0,4.0,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_5_3_T450150G979276@T463723,2025-05-03,2025,9,NAL,Shreveport Rouxgaroux,Beaumont Renegades,,,,,,,,2.0,-2.0,2.0,0.0,-5.0,,,14.0,26.0,0.0,3.0,54.0,4.0,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_5_10_T463723G979279@T425362,2025-05-10,2025,10,NAL,Beaumont Renegades,Wheeling Miners,,,,,,,,,,,,,,,9.0,14.0,0.0,0.0,26.0,3.0,,9.0,10.0,,2.0,0.0,1.0,18.0,,,,,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,,,,,,,,,,,,,,,17.0,28.0,0.0,2.0,67.0,4.0,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_3_16_TVEGASKNIGHTHAWKSG20260316CMKJ@TGREENBAYBLIZZARD,2026-03-16,2026,1,IFL,Vegas Knight Hawks,Green Bay Blizzard,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,3.0,0.5,0.0
FOOTBALL_UFL_2026_4_12_CLB@DAL,2026-04-12,2026,3,UFL,CLB,DAL,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
FOOTBALL_UFL_2026_5_2_HOU@CLB,2026-05-02,2026,6,UFL,HOU,CLB,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_18_TVEGASKNIGHTHAWKSG20260518L91R@TORLANDOPIRATES,2026-05-18,2026,10,IFL,Vegas Knight Hawks,Orlando Pirates,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
