game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2019_SEASON_TOTAL,,,1,,,,21.0,10.0,20.0,2.0,41.0,,,
NLL_2021_SEASON_TOTAL,,,1,,,,34.0,18.0,25.0,8.0,59.0,,,
NLL_2022_SEASON_TOTAL,,,1,,,,19.0,9.0,17.0,8.0,36.0,4.0,5.0,
NLL_2023_SEASON_TOTAL,,,1,,,,38.0,18.0,30.0,2.0,68.0,7.0,3.0,1.0
