game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,18.0,72.0,5.0,1133.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,13.0,62.0,9.0,964.0
