game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rushing_yards,sacks,tackles
SALINA-CORPUS,,,1,,,,,,,,,,,,,,,,1.0,60.0,6.0,,,
SWKANSAS-NASHVILLE-0425,0425,,7,,SWKANSAS,NASHVILLE,,,,,,,,,,,,,1.0,25.0,3.0,,,
SWKANSAS-NASHVILLE,2025-03-08,2025,0,AF1,NASHVILLE,SW KANSAS,,,,,,,,,,,,,2.0,76.0,5.0,,,
STORM-FIREBIRDS,2025-03-21,2025,2,AF1,SW KANSAS,ALBANY,,,,,,,,,,,,,0.0,18.0,3.0,,,
STORM-LIGHTNING-0330,2025-03-30,2025,3,AF1,OREGON,SW KANSAS,,,,,,,,,,,,,0.0,20.0,1.0,,,
SWKANSAS-OREGON-0412,2025-04-12,2025,5,AF1,SW KANSAS,SALINA,,,,,,,,,,,,,0.0,32.0,6.0,,,
CORPUSCHRISTI-SWKANSAS-0419,2025-04-19,2025,6,AF1,SW KANSAS,CORPUS CHRISTI,,,,,,,,,,,,,2.0,120.0,9.0,8.0,,
SWKANSAS-NASHVILLE-0426,2025-04-26,2025,7,AF1,NASHVILLE,SW KANSAS,,,,,,,,,,,,,1.0,34.0,4.0,,,
SWKANSAS-BILLINGS-0503,2025-05-03,2025,8,AF1,BILLINGS,SW KANSAS,,,,,,,,,,,,,1.0,74.0,4.0,,,
WASHINGTON-SWKANSAS-05-25,2025-05-25,2025,11,AF1,SW KANSAS,WASHINGTON,,,,,,,,,,,,,1.0,31.0,2.0,,,
SALINA-KANSAS-0607,2025-06-07,2025,13,AF1,SW KANSAS,SALINA,,,,,,,,,,,,,0.0,12.0,1.0,,,
FOOTBALL_AF1_2026_4_12_T606163G1168202@T584747,2026-04-12,2026,1,AF1,Michigan Arsenal,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,5.0
FOOTBALL_AF1_2026_4_19_T612138G1168205@T584747,2026-04-19,2026,2,AF1,Oceanside Bombers,Kentucky Barrels,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,1.0,21.0,2.0,,0.0,2.0
FOOTBALL_AF1_2026_5_3_T584637G1168212@T584747,2026-05-03,2026,4,AF1,Nashville Kats,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,3.0
FOOTBALL_AF1_2026_5_9_T584747G1168215@T584635,2026-05-09,2026,5,AF1,Kentucky Barrels,Albany Firebirds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,32.0,0.0,0.0,3.0,61.0,4.0,,0.0,4.0
FOOTBALL_AF1_2026_5_17_T584761G1168220@T584747,2026-05-17,2026,6,AF1,Beaumont Renegades,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,42.0,5.0,,0.0,2.0
