game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,sacks,tackles
SYNTHETIC_CFL_W16_OTT,,,16,CFL,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W17_OTT,,,17,CFL,,,,1.0,77.0,7.0,,
SYNTHETIC_CFL_W19_OTT,,,19,CFL,,,,1.0,68.0,6.0,,
SYNTHETIC_CFL_2023_W12_OTT,,2023,12,CFL,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2023_W14_OTT,,2023,14,CFL,,,,0.0,6.0,1.0,,
SYNTHETIC_CFL_2023_W16_OTT,,2023,16,CFL,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2023_W17_OTT,,2023,17,CFL,,,0.0,0.0,47.0,5.0,0.0,0.0
SYNTHETIC_CFL_2023_W18_OTT,,2023,18,CFL,,,,0.0,7.0,1.0,,
SYNTHETIC_CFL_2023_W19_OTT,,2023,19,CFL,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2023_W21_OTT,,2023,21,CFL,,,0.0,0.0,6.0,1.0,0.0,1.0
