game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,sacks,tackles
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,,9.0,5.0,,45.0,,,,64.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_22_CGY@SSK,2022-10-22,2022,1,CFL,CGY,SSK,,,28.0,18.0,,26.0,28.0,5.0,1.0,196.0,,,,,,3.0,8.0,15.0,,,,
FOOTBALL_CFL_2022_10_29_SSK@CGY,2022-10-29,2022,1,CFL,SSK,CGY,,,32.0,21.0,,24.0,41.0,6.0,,168.0,,,,,,2.0,15.0,17.0,,,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,9.0,7.0,1.0,45.0,8.0,1.0,1.0,83.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,,,2.0,1.0,,8.0,,,,8.0,,,,,,1.0,,,,,,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,,,26.0,16.0,1.0,57.0,16.0,3.0,1.0,210.0,,,,,,3.0,14.0,20.0,,,,
FOOTBALL_CFL_2022_9_30_SSK@WPG,2022-09-30,2022,1,CFL,SSK,WPG,,,5.0,4.0,1.0,11.0,,,,25.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_SSK,,2022,3,CFL,,,1.0,,,,,,,,,,1.0,83.0,,,,,,,,,,
6239,2022-07-29,2022,8,CFL,BC,SSK,0.0,,,,,,,,,,0.0,8.0,,,,,,,0.0,0.0,,
6251,2022-08-19,2022,11,CFL,BC,SSK,1.0,,,,,,,,,,1.0,210.0,,,,,,,0.0,20.0,,
6272,2022-09-30,2022,17,CFL,SSK,WPG,1.0,,,,,,,,,,0.0,25.0,,,,,,,,,,
6287,2022-10-22,2022,20,CFL,CGY,SSK,0.0,,,,,,,,,,1.0,196.0,,,,,,,0.0,15.0,,
9889305,2023-07-15,2023,6,CFL,CGY,SSK,0.0,,,,,,,,,,2.0,116.0,,,,,,,0.0,24.0,,
9889308,2023-07-22,2023,7,CFL,SSK,BC,2.0,,,,,,,,,,0.0,284.0,,,,,,,,,,
9889311,2023-07-29,2023,8,CFL,SSK,TOR,2.0,,,,,,,,,,0.0,302.0,,,,,,,0.0,4.0,,
9889317,2023-08-06,2023,9,CFL,OTT,SSK,0.0,0.0,,,,,,,,,1.0,296.0,0.0,8.0,1.0,,,,0.0,17.0,0.0,1.0
9889319,2023-08-11,2023,10,CFL,SSK,MTL,0.0,,,,,,,,,,0.0,20.0,,,,,,,0.0,14.0,,
9889352,2023-10-07,2023,18,CFL,HAM,SSK,1.0,,,,,,,,,,0.0,25.0,,,,,,,0.0,2.0,,
