game_id,date,season,week,league,away,home,catches,completions,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-20-DC-TOR,2023-05-20,2023,4,,DC,TOR,3.0,3.0,,,3.0,,8.0,-5.0
2023-06-24-DC-BOS,2023-06-24,2023,9,,DC,BOS,7.0,7.0,,1.0,9.0,2.0,25.0,94.0
2023-07-21-TOR-DC,2023-07-21,2023,13,,TOR,DC,4.0,7.0,2.0,1.0,7.0,,-4.0,85.0
