game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,,,,,,,26.0,4.0,5.0,,16.0,48.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,,,,,,,26.0,7.0,10.0,,43.0,76.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,,,,,,,,,1.0,,,,,,,1.0,16.0,16.0,,,,,,,,
FOOTBALL_CFL_2022_10_22_TOR@MTL,2022-10-22,2022,1,CFL,TOR,MTL,,,,,,,9.0,1.0,3.0,,5.0,9.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_29_MTL@TOR,2022-10-29,2022,1,CFL,MTL,TOR,2.0,2.0,,,,,12.0,5.0,6.0,,21.0,47.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_11_13_MTL@TOR,2022-11-13,2022,1,CFL,MTL,TOR,,,,,,,,8.0,8.0,1.0,25.0,127.0,,,,,,,,,,1.0,1.0,8.0,1.0,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,,,,,,20.0,4.0,4.0,,27.0,34.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_16_MTL@TOR,2022-06-16,2022,1,CFL,MTL,TOR,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,,,,,66.0,1.0,1.0,,66.0,66.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_9_MTL@CGY,2022-06-09,2022,1,CFL,MTL,CGY,,,,,,,,,,,,,33.0,2.0,63.0,,,,,,,,,,,
FOOTBALL_CFL_2022_7_14_EDM@MTL,2022-07-14,2022,1,CFL,EDM,MTL,,,,,,,,1.0,1.0,1.0,6.0,6.0,27.0,1.0,27.0,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_7_21_MTL@OTT,2022-07-21,2022,1,CFL,MTL,OTT,,,,,,,8.0,1.0,1.0,,2.0,8.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,,,,,8.0,1.0,1.0,,8.0,8.0,58.0,2.0,71.0,,,,,,,,,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,,,,11.0,1.0,2.0,,,11.0,30.0,2.0,49.0,,,,,,,,,,,
FOOTBALL_CFL_2022_8_11_MTL@WPG,2022-08-11,2022,1,CFL,MTL,WPG,,,,,,,7.0,1.0,1.0,,7.0,7.0,42.0,3.0,91.0,,,,,,,,,,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,,,,23.0,3.0,4.0,,34.0,51.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_4_WPG@MTL,2022-08-04,2022,1,CFL,WPG,MTL,,,,,,,,2.0,2.0,1.0,9.0,9.0,60.0,4.0,112.0,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,,,,9.0,4.0,5.0,,18.0,24.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_2_OTT@MTL,2022-09-02,2022,1,CFL,OTT,MTL,,,,,,,38.0,4.0,4.0,,39.0,71.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,,,,,,,8.0,3.0,5.0,,11.0,18.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_MTL,,2022,3,CFL,,,,,,0.0,66.0,1.0,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,,,,0.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,
6230,2022-07-14,2022,6,CFL,EDM,MTL,,,,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,
6234,2022-07-21,2022,7,CFL,MTL,OTT,,,,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,
6238,2022-07-28,2022,8,CFL,MTL,HAM,,,,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,
6242,2022-08-04,2022,9,CFL,WPG,MTL,,,,1.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,
6246,2022-08-11,2022,10,CFL,MTL,WPG,,,,0.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,
6252,2022-08-20,2022,11,CFL,HAM,MTL,,,,0.0,51.0,3.0,,,,,,,,,,,,,,,,,,,,
6258,2022-09-02,2022,13,CFL,OTT,MTL,,,,0.0,71.0,4.0,,,,,,,,,,,,,,,,,,,,
6262,2022-09-09,2022,14,CFL,BC,MTL,,,,0.0,18.0,3.0,,,,,,,,,,,,,,,,,,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,,,,0.0,24.0,4.0,,,,,,,,,,,,,,,,,,,,
6274,2022-10-01,2022,17,CFL,MTL,EDM,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,16.0,,,,,,
6280,2022-10-14,2022,19,CFL,MTL,OTT,,,,0.0,76.0,7.0,,,,,,,,,,,,,,,,,,,,
6286,2022-10-22,2022,20,CFL,TOR,MTL,,,,0.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,
9889313,2023-07-30,2023,8,CFL,CGY,MTL,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
9889316,2023-08-05,2023,9,CFL,MTL,HAM,,,,0.0,26.0,4.0,,,,,,,,,,,,,0.0,2.0,,,,,,
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,,,0.0,16.0,3.0,,,,,,,,,,,,,,,,,,,,
9889324,2023-08-19,2023,11,CFL,MTL,OTT,,,,0.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,,0.0,0.0,36.0,4.0,,,,,,,,,,,,,,,0.0,,,,,1.0
9889330,2023-09-02,2023,13,CFL,BC,MTL,,,,0.0,32.0,3.0,,,,,,,,,,,,,,,,,,,,
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,,0.0,36.0,4.0,,,,,,,,,,,,,,,,,,,,
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,,,1.0,105.0,9.0,,,,,,,,,,,,,,,,,,,,
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,,,0.0,87.0,4.0,,,,,,,,,,,,,,,,,,,,
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,,1.0,41.0,3.0,,,,,,,,,,,,,,,,,,,,
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,,1.0,90.0,6.0,,,,,,,,,,,,,0.0,7.0,,,,,,
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,,,1.0,38.0,4.0,,,,,,,,,,,,,,,,,,,,
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,,,1.0,16.0,2.0,,,,,,,,,,,,,,,,,,,,
10798016,2024-06-06,2024,1,CFL,MTL,WPG,,,,2.0,141.0,10.0,,,,,,,,,,,,,,,,,,,,
10798146,2024-05-25,2024,2,CFL,TOR,MTL,,,,0.0,49.0,5.0,,,,,,,,,,,,,,,,,,,,
10798024,2024-06-20,2024,3,CFL,OTT,MTL,,,,1.0,150.0,8.0,,,,,,,,,,,,,,,,,,,,
10798029,2024-06-28,2024,4,CFL,MTL,TOR,,,,1.0,90.0,5.0,,,,,,,,,,,,,,,,,,,,
10798034,2024-07-06,2024,5,CFL,CGY,MTL,,,,0.0,134.0,12.0,,,,,,,,,,,,,,,,,,,,
10798036,2024-07-11,2024,6,CFL,TOR,MTL,,,,1.0,38.0,4.0,,,,,,,,,,,,,,,,,,,,
10798044,2024-07-25,2024,8,CFL,SSK,MTL,,,,0.0,88.0,7.0,,,,,,,,,,,,,,,,,,,,
10798049,2024-08-02,2024,9,CFL,MTL,HAM,,,,0.0,82.0,5.0,,,,,,,,,,,,,,,,,,,,
10798054,2024-08-10,2024,10,CFL,HAM,MTL,,,,0.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,
11824046,2025-06-06,2025,1,CFL,TOR,MTL,,,,1.0,48.0,4.0,,,,,,,,,,,,,,,,,,,,
11824050,2025-06-13,2025,2,CFL,MTL,OTT,,,,0.0,42.0,5.0,,,,,,,,,,,,,,,,,,,,
