game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,sh_goals
NLL_2019_SEASON_TOTAL,,,1,,,,2.0,8.0,2.0,10.0,4.0,
NLL_2022_SEASON_TOTAL,,,1,,,,1.0,6.0,,11.0,1.0,
NLL_2023_SEASON_TOTAL,,,1,,,,12.0,17.0,5.0,11.0,17.0,1.0
