game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,,,22.0,15.0,,54.0,17.0,4.0,2.0,164.0,,,,,,3.0,12.0,,27.0,,,,
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,,,37.0,25.0,,33.0,30.0,5.0,,208.0,,,,,,6.0,12.0,1.0,34.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,28.0,15.0,,31.0,51.0,5.0,,163.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,1.0,1.0,38.0,22.0,,46.0,37.0,4.0,2.0,328.0,,,,,,3.0,10.0,,14.0,,,,
FOOTBALL_CFL_2016_6_30_TOR@SSK,2016-06-30,2016,1,CFL,TOR,SSK,,,48.0,31.0,,48.0,4.0,1.0,1.0,310.0,3.0,1.0,1.0,3.0,3.0,5.0,6.0,,15.0,,,,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,10.0,7.0,,,,,1.0,104.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,38.0,27.0,,32.0,,,4.0,317.0,,,,,,6.0,9.0,,15.0,,,,
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,,,37.0,24.0,,35.0,27.0,5.0,,267.0,,,,,,10.0,17.0,,74.0,,,,
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,1.0,1.0,28.0,18.0,4.0,39.0,33.0,3.0,,235.0,,,,,,4.0,9.0,,19.0,,,,
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,,,38.0,27.0,,38.0,19.0,3.0,,314.0,,,,,,4.0,10.0,2.0,13.0,,12.0,2.0,2.0
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,,28.0,17.0,,48.0,12.0,2.0,1.0,247.0,,,,,,4.0,2.0,,5.0,,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,36.0,23.0,,58.0,12.0,2.0,1.0,283.0,,,,,,1.0,3.0,,3.0,,,,
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,,,29.0,20.0,1.0,18.0,8.0,1.0,,174.0,,,,,,5.0,25.0,1.0,61.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_24_HAM@SSK,2016-09-24,2016,1,CFL,HAM,SSK,,,31.0,23.0,,53.0,18.0,2.0,1.0,326.0,,,,,,2.0,14.0,1.0,15.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,1.0,1.0,47.0,36.0,2.0,54.0,18.0,3.0,1.0,399.0,,,,,,4.0,5.0,1.0,13.0,1.0,8.0,1.0,1.0
