game_id,date,season,week,league,away,home,interceptions,interceptions_lost,passing_tds,passing_yards,rushing_yards
BILLINGS-OREGON,,,1,,,,1.0,,4.0,166.0,9.0
SYNTHETIC_AF1_2025_W5_BILLINGS,2025-04-13,2025,5,AF1,BILLINGS,ALBANY,,2.0,2.0,155.0,
SYNTHETIC_AF1_2025_W6_BILLINGS,2025-04-20,2025,6,AF1,ALBANY,BILLINGS,,,1.0,89.0,3.0
SYNTHETIC_AF1_2025_W8_BILLINGS,2025-05-03,2025,8,AF1,BILLINGS,SW KANSAS,,,2.0,241.0,15.0
