game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,,2.0,26.0,2.0,21.0,-5.0,56.0,9.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,1.0,,17.0,,10.0,-1.0,12.0,2.0
