game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed
SYNTHETIC_USFL_2023_W1_MAULERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,37.0,
SYNTHETIC_USFL_2023_W2_MAULERS,2023-04-23,2023,2,USFL,MAULERS,GENERALS,,47.0,1.0
SYNTHETIC_USFL_2023_W3_MAULERS,2023-04-30,2023,3,USFL,STARS,MAULERS,,189.0,
SYNTHETIC_USFL_2023_W4_MAULERS,2023-05-07,2023,4,USFL,MAULERS,STALLIONS,,115.0,
SYNTHETIC_USFL_2023_W5_MAULERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,2.0,22.0,
SYNTHETIC_USFL_2023_W6_MAULERS,2023-05-20,2023,6,USFL,SHOWBOATS,MAULERS,,,2.0
SYNTHETIC_USFL_2023_W7_MAULERS,2023-05-27,2023,7,USFL,MAULERS,STARS,4.0,49.0,1.0
SYNTHETIC_USFL_2023_W8_MAULERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,1.0,162.0,1.0
SYNTHETIC_USFL_2023_W9_MAULERS,2023-06-10,2023,9,USFL,MAULERS,PANTHERS,1.0,136.0,
SYNTHETIC_USFL_2023_W10_MAULERS,2023-06-17,2023,10,USFL,GENERALS,MAULERS,2.0,74.0,
