game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2025_3_8_T425360G979249@T450150,2025-03-09,2025,1,NAL,Omaha Beef,Shreveport Rouxgaroux,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,3.0
FOOTBALL_NAL_2025_3_15_T425357G979252@T425360,2025-03-15,2025,2,NAL,Colorado Spartans,Omaha Beef,5.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,0.5,0.0,,3.0
FOOTBALL_NAL_2025_3_29_T425358G979260@T425360,2025-03-29,2025,4,NAL,Idaho Horsemen,Omaha Beef,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.5,0.0,,1.0
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,4.0
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,,,,,,,,0.0,11.0,2.0,,,,
FOOTBALL_NAL_2025_4_19_T425361G979267@T425360,2025-04-19,2025,7,NAL,Sioux City Bandits,Omaha Beef,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,,2.0
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,,,,,,,,,0.0,0.0,0.0,,,,
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,,,,,,,,,0.0,4.0,1.0,,,,
FOOTBALL_IFL_2026_3_14_TQUADCITYSTEAMWHEELERSG20260314RYY1@TFISHERSFREIGHT,2026-03-14,2026,1,IFL,Quad City Steamwheelers,Fishers Freight,0.0,,,,,,,8.0,11.0,0.0,24.0,3.0,,,1.0,1.0
FOOTBALL_IFL_2026_3_21_TFISHERSFREIGHTG20260321YQ5B@TGREENBAYBLIZZARD,2026-03-21,2026,2,IFL,Fishers Freight,Green Bay Blizzard,0.0,,,,,,,10.0,15.0,1.0,40.0,4.0,,,1.0,1.0
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,,,,,,,,8.0,11.0,2.0,32.0,4.0,,,,
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,,,,,,,,7.3,9.0,2.0,22.0,3.0,,,,
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,,,,,,,,12.5,13.0,0.0,25.0,2.0,,,,
FOOTBALL_IFL_2026_5_9_TFISHERSFREIGHTG202605096WJ9@TORLANDOPIRATES,2026-05-09,2026,9,IFL,Fishers Freight,Orlando Pirates,,,,,,,,8.0,12.0,0.0,24.0,3.0,,,,
