game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-nwsl-2016-4wM4Ezg5jB,,2016,1,NWSL,,,0.0,-0.1558,21.713,5.2008,0.0,-0.2214,0.0,6.0,713.0,0.7123,285.0,-10.687,-3.7498,0.0,5.0,1.0,0.1558,0.2214,-0.053,0.3771,0.7498,0.1993
soccer-nwsl-2016-xW5pwDBMg1,,2016,1,NWSL,,,1.0,-0.182,20.5895,6.1383,0.0,-0.5807,1.0,19.0,1303.0,0.6889,495.0,0.1048,0.0212,0.0,15.0,5.0,1.182,0.5807,-0.117,1.7627,0.6887,0.2937
soccer-nwsl-2017-zeQZeazqKw,,2017,1,NWSL,,,0.0,-1.0302,19.2988,6.6898,3.0,-0.3712,3.0,19.0,2379.0,0.7178,1049.0,-4.1958,-0.4,0.8748,30.0,10.0,1.0302,3.3712,-0.0146,4.4015,0.7218,1.5314
soccer-nwsl-2018-zeQZeazqKw,,2018,1,NWSL,,,1.0,-0.2945,20.0702,6.5954,3.0,0.4753,4.0,19.0,1934.0,0.7555,1002.0,0.3456,0.0345,2.0276,19.0,8.0,1.2945,2.5247,-0.0289,3.8193,0.7551,1.6933
soccer-nwsl-2019-zeQZeazqKw,,2019,1,NWSL,,,1.0,-0.3128,19.3021,3.788,0.0,-0.9135,1.0,16.0,1862.0,0.7845,979.0,18.5225,1.892,0.0,15.0,3.0,1.3128,0.9135,-0.496,2.2263,0.7656,0.5718
soccer-nwsl-2020-raMyrr25d2,,2020,1,NWSL,,,0.0,-0.1757,16.9877,4.0011,0.0,-0.0874,0.0,4.0,502.0,0.7706,279.0,-2.3468,-0.8412,0.0,5.0,1.0,0.1757,0.0874,-0.0792,0.2631,0.779,0.0182
soccer-nwsl-2021-raMyrr25d2,,2021,1,NWSL,,,1.0,0.1562,17.4765,3.6267,1.0,-0.146,2.0,8.0,1756.0,0.7535,860.0,-19.0644,-2.2168,0.3953,21.0,6.0,0.8438,1.146,-0.1825,1.9898,0.7757,0.7506
soccer-nwsl-2022-raMyrr25d2,,2022,1,NWSL,,,0.0,-1.0112,18.1937,3.4072,3.0,1.2824,3.0,12.0,2388.0,0.7652,1197.0,-25.1969,-2.105,2.2458,17.0,4.0,1.0112,1.7176,0.1943,2.7288,0.7863,1.3058
soccer-nwsl-2023-raMyrr25d2,,2023,1,NWSL,,,1.0,0.4663,17.8247,3.4423,2.0,1.6786,3.0,9.0,976.0,0.7573,379.0,4.6494,1.2267,0.8414,7.0,3.0,0.5337,0.3214,0.0966,0.8551,0.745,0.1901
soccer-nwsl-2024-raMyrr25d2,,2024,1,NWSL,,,0.0,-0.2448,15.5538,3.2102,0.0,0.0,0.0,4.0,331.0,0.757,107.0,0.2301,0.2151,0.0,0.0,0.0,0.2448,0.0,0.0,0.2448,0.7549,0.0
