game_id,date,season,week,league,away,home,assisted_tackles,conversions,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
45,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,,,,,,,,,0.0,21.0,2.0,0.0,24.0,,
52,2025-04-12,2025,3,UFL,SHOWBOATS,ROUGHNECKS,,,,,,,,,,0.0,0.0,0.0,0.0,15.0,,
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,1.0,,,,,,,,,,,0.0,18.0,,
69,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,,,,,,,,,,,,,1.0,76.0,,
73,2025-05-24,2025,9,UFL,SHOWBOATS,RENEGADES,,,,,,,,,,0.0,8.0,2.0,1.0,16.0,,
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,,,,,,,,,,,,0.0,29.0,,
FOOTBALL_AF1_2026_4_12_T606163G1168202@T584747,2026-04-12,2026,1,AF1,Michigan Arsenal,Kentucky Barrels,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,4.0
FOOTBALL_AF1_2026_4_17_T606163G1168206@T584637,2026-04-18,2026,2,AF1,Michigan Arsenal,Nashville Kats,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2.0
FOOTBALL_AF1_2026_5_9_T602555G1168217@T606163,2026-05-09,2026,5,AF1,Minnesota Monsters,Michigan Arsenal,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0
FOOTBALL_AF1_2026_5_16_T584635G1168219@T606163,2026-05-16,2026,6,AF1,Albany Firebirds,Michigan Arsenal,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2.0
FOOTBALL_AF1_2026_5_23_T606163G1168385@T584638,2026-05-24,2026,7,AF1,Michigan Arsenal,Oregon Lightning,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,3.0
