game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2022_10_15_WPG@BC,2022-10-15,2022,1,CFL,WPG,BC,,,,,,,36.0,4.0,7.0,1.0,23.0,82.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_10_28_BC@WPG,2022-10-28,2022,1,CFL,BC,WPG,,,,,,,62.0,2.0,5.0,1.0,44.0,84.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_10_8_EDM@WPG,2022-10-08,2022,1,CFL,EDM,WPG,,,,,,,,7.0,8.0,3.0,37.0,162.0,,,,,,,3.0,18.0,3.0,
FOOTBALL_CFL_2022_11_13_BC@WPG,2022-11-13,2022,1,CFL,BC,WPG,,,,,,,,3.0,3.0,1.0,19.0,36.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_11_20_TOR@WPG,2022-11-20,2022,1,CFL,TOR,WPG,,,,,,,39.0,3.0,7.0,,12.0,78.0,,,,,,,,,,
FOOTBALL_CFL_2022_6_10_OTT@WPG,2022-06-10,2022,1,CFL,OTT,WPG,,,,,,,27.0,5.0,6.0,,18.0,69.0,1.0,3.0,3.0,,,,,,,
FOOTBALL_CFL_2022_6_17_WPG@OTT,2022-06-17,2022,1,CFL,WPG,OTT,,,,,,,31.0,2.0,3.0,1.0,4.0,58.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_6_24_HAM@WPG,2022-06-24,2022,1,CFL,HAM,WPG,,,,,,,16.0,1.0,3.0,,4.0,16.0,,,,,,,,,,
FOOTBALL_CFL_2022_7_15_CGY@WPG,2022-07-15,2022,1,CFL,CGY,WPG,,,,,,,12.0,3.0,4.0,,9.0,24.0,,,,,,,,,,
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,,,,,,,,4.0,9.0,1.0,55.0,146.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_7_30_WPG@CGY,2022-07-30,2022,1,CFL,WPG,CGY,,,,,,,,4.0,8.0,2.0,11.0,80.0,,,,,,,2.0,12.0,2.0,
