game_id,date,season,week,league,away,home,completions,interceptions_lost,pass_attempts,passing_tds,passing_yards,rush_attempts,rushing_yards,solo_tackles,tackles,targets
FOOTBALL_XFL_2020_2_16_DAL@LA,2020-02-16,2020,2,XFL,DAL,LA,28.0,2.0,40.0,1.0,305.0,4.0,13.0,,,
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,30.0,2.0,41.0,3.0,274.0,,,1.0,1.0,1.0
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,25.0,3.0,38.0,1.0,205.0,1.0,2.0,,,
