game_id,date,season,week,league,away,home,assist_tackles,int_avg,int_long,int_tds,int_yards,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,solo_tackles,targets
FOOTBALL_AAF_2019_3_16_MEM@SL,2019-03-16,2019,6,AAF,MEM,SL,,,,,,,0.0,70.0,7.0,,,,,,,,,,11.0
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,,,,,,,1.0,30.0,5.0,,,,,,,,,,9.0
FOOTBALL_AAF_2019_3_30_ORL@MEM,2019-03-30,2019,8,AAF,ORL,MEM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,5.0,,,,,,,,,0.0,9.0
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,,,,,,,,123.0,6.0,,,,,,,,,,4.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,,,,,,,22.0,3.0,,,,,,,,,,2.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,,,,,,,1.0,35.0,2.0,,,,,,,,,,2.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,,,,,,,,72.0,7.0,,,,,,,,,,3.0
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,,,,,,,,86.0,5.0,,,,,,,,,,5.0
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,,,,,,,,,5.0,2.0,2.0,5.0,7.0,,,,,
FOOTBALL_CFL_2021_9_17_CGY@HAM,2021-09-17,2021,1,CFL,CGY,HAM,,,,,,,,,,30.0,3.0,3.0,23.0,45.0,22.0,3.0,39.0,,
