game_id,date,season,week,league,away,home,gp,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,12.0,4.0,21.0,53.0,1.0,317.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,4.0,,,32.0,4.0,308.0
