game_id,date,season,week,league,away,home,interceptions_made,points_against,sacks
SYNTHETIC_CFL_2022_W1_CGY,,2022,1,CFL,,,1.0,30.0,1.0
SYNTHETIC_CFL_2022_W3_CGY,,2022,3,CFL,,,1.0,23.0,2.0
SYNTHETIC_CFL_2022_W5_CGY,,2022,5,CFL,,,2.0,6.0,3.0
6231,2022-07-15,2022,6,CFL,CGY,WPG,0.0,26.0,4.0
6240,2022-07-30,2022,8,CFL,WPG,CGY,0.0,35.0,0.0
6243,2022-08-05,2022,9,CFL,CGY,OTT,3.0,3.0,2.0
6248,2022-08-13,2022,10,CFL,BC,CGY,2.0,41.0,2.0
6253,2022-08-20,2022,11,CFL,CGY,TOR,1.0,19.0,5.0
6254,2022-08-25,2022,12,CFL,CGY,WPG,2.0,31.0,1.0
6261,2022-09-05,2022,13,CFL,EDM,CGY,0.0,0.0,0.0
6265,2022-09-10,2022,14,CFL,CGY,EDM,0.0,0.0,0.0
6268,2022-09-17,2022,15,CFL,BC,CGY,0.0,31.0,4.0
6271,2022-09-24,2022,16,CFL,CGY,BC,0.0,11.0,5.0
6275,2022-10-01,2022,17,CFL,TOR,CGY,3.0,2.0,2.0
6281,2022-10-14,2022,19,CFL,HAM,CGY,0.0,35.0,1.0
6287,2022-10-22,2022,20,CFL,CGY,SSK,0.0,21.0,5.0
9889283,2023-06-08,2023,1,CFL,BC,CGY,1.0,25.0,
9889287,2023-06-15,2023,2,CFL,CGY,OTT,1.0,15.0,1.0
9889293,2023-06-24,2023,3,CFL,SSK,CGY,1.0,29.0,3.0
9889299,2023-07-07,2023,5,CFL,CGY,WPG,,24.0,3.0
9889305,2023-07-15,2023,6,CFL,CGY,SSK,,31.0,7.0
9889309,2023-07-23,2023,7,CFL,OTT,CGY,,43.0,5.0
9889313,2023-07-30,2023,8,CFL,CGY,MTL,,25.0,1.0
9889315,2023-08-04,2023,9,CFL,TOR,CGY,,7.0,3.0
9889320,2023-08-12,2023,10,CFL,CGY,BC,,37.0,3.0
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,19.0,4.0
