game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,12.0,,,,,2.0,,10.0,2.0,,6.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,10.0,2.0,53.0,3.0,19.0,25.0,1.0,200.0,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,10.0,,,,,38.0,3.0,521.0,1.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,,,,,37.0,2.0,424.0,3.0,1.0,69.0
