game_id,date,season,week,league,away,home,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,def_tackles,gp,kr_no,kr_yds,match_played,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pr_no,recv_rec,recv_td,recv_yds,rush_att,rush_yds
cricket-wbbl-2015-12-19-896467,2015-12-19,2015,1,WBBL,Adelaide Strikers,Brisbane Heat,12.0,0.0,0.0,10.0,0.0,1.0,,,,,1.0,,,,,,,,,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,,,,,2.0,,,,72.0,39.0,2.0,2.0,383.0,,,,,6.0,15.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,,,,,3.0,9.0,26.0,579.0,,1.0,1.0,,1.0,2.0,2.0,63.0,10.0,919.0,2.0,22.0
