game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,,,,14.0,5.0,5.0,1.0,40.0,41.0,,,,17.0,24.0,,102.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_9_8_CGY@EDM,2018-09-08,2018,1,CFL,CGY,EDM,,,,3.0,1.0,2.0,,3.0,3.0,,,,8.0,19.0,,42.0,,,,,,
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,,,,9.0,3.0,4.0,,6.0,11.0,,,,18.0,13.0,1.0,94.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_10_26_SSK@EDM,2019-10-26,2019,1,CFL,SSK,EDM,,,,13.0,3.0,3.0,,18.0,24.0,,,,13.0,16.0,,65.0,,,,,,
FOOTBALL_CFL_2019_11_10_EDM@MTL,2019-11-10,2019,1,CFL,EDM,MTL,,,,35.0,5.0,5.0,,55.0,55.0,,,,2.0,5.0,,8.0,,,,,,
FOOTBALL_CFL_2019_11_17_EDM@HAM,2019-11-17,2019,1,CFL,EDM,HAM,,,,10.0,1.0,1.0,,10.0,10.0,,,,1.0,1.0,,1.0,,,,,,
FOOTBALL_CFL_2019_11_2_EDM@SSK,2019-11-02,2019,1,CFL,EDM,SSK,,,,9.0,3.0,4.0,,12.0,12.0,,,,12.0,23.0,,65.0,,,,,,
FOOTBALL_CFL_2019_7_25_TOR@EDM,2019-07-25,2019,1,CFL,TOR,EDM,,,,17.0,5.0,6.0,,40.0,48.0,,,,22.0,26.0,1.0,128.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_8_9_OTT@EDM,2019-08-09,2019,1,CFL,OTT,EDM,,,,17.0,1.0,1.0,,17.0,17.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_1_WPG@BC,2021-10-01,2021,1,CFL,WPG,BC,,,,3.0,1.0,1.0,,3.0,3.0,,,,2.0,,,-3.0,,,,,,
FOOTBALL_CFL_2021_11_13_WPG@MTL,2021-11-13,2021,1,CFL,WPG,MTL,,,,,,,,,,24.0,4.0,68.0,,,,,,,,,,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,,,,,,,,,40.0,1.0,40.0,,,,,,,,,,
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,,,,,,,,,,,,6.0,20.0,,35.0,,,,,,
FOOTBALL_CFL_2021_8_28_BC@OTT,2021-08-28,2021,1,CFL,BC,OTT,,,,4.0,1.0,2.0,,4.0,4.0,,,,14.0,30.0,,71.0,,,,,,
FOOTBALL_CFL_2021_9_11_OTT@BC,2021-09-11,2021,1,CFL,OTT,BC,,,,15.0,2.0,2.0,,22.0,23.0,,,,9.0,14.0,,41.0,,,,,,
FOOTBALL_CFL_2021_9_24_SSK@BC,2021-09-24,2021,1,CFL,SSK,BC,,,,16.0,7.0,7.0,,28.0,39.0,,,,2.0,,1.0,-2.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,,13.0,3.0,3.0,,21.0,21.0,,,,5.0,5.0,,7.0,,,,,,
6276,2022-10-07,2022,18,CFL,SSK,HAM,0.0,21.0,3.0,,,,,,,,,,,,,,0.0,7.0,,,,
