game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,pass_defended,qb_hits,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,2.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,
FOOTBALL_NAL_2025_5_3_T450150G979276@T463723,2025-05-03,2025,9,NAL,Shreveport Rouxgaroux,Beaumont Renegades,1.0,0.0,0.0,1.0,0.0,,0.0,1.0,,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_5_10_T463723G979279@T425362,2025-05-10,2025,10,NAL,Beaumont Renegades,Wheeling Miners,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,2.0,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,1.0,,
FOOTBALL_AF1_2026_4_26_T612138G1168208@T584761,2026-04-26,2026,3,AF1,Oceanside Bombers,Beaumont Renegades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,3.0,,
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,0.0,,,,,,,,,1.0,,,,0.0,0.0,,
FOOTBALL_IFL_2026_4_12_TJACKSONVILLESHARKSG20260412GKF3@TVEGASKNIGHTHAWKS,2026-04-12,2026,5,IFL,Jacksonville Sharks,Vegas Knight Hawks,2.0,,,,,,,,,,,,,0.0,2.0,,
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,0.0,,,,,,,,1.0,,,,,0.0,0.0,,
FOOTBALL_AF1_2026_5_23_T584761G1168384@T584641,2026-05-23,2026,7,AF1,Beaumont Renegades,Washington Wolfpack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,1.0,,
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,1.0,,,,,,,,1.0,1.0,15.0,2.0,,3.0,4.0,2.0,17.0
FOOTBALL_IFL_2026_5_2_TNEWMEXICOCHUPACABRASG20260502IFQJ@TJACKSONVILLESHARKS,2026-05-02,2026,8,IFL,New Mexico Chupacabras,Jacksonville Sharks,4.0,,,,,,,,1.0,,,,,3.0,7.0,,
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,3.0,,,,,,,,,,,,,3.0,6.0,,
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,5.0,,,,,,,,,,,,,1.0,6.0,,
FOOTBALL_IFL_2026_5_22_TJACKSONVILLESHARKSG20260522TJEW@TIOWABARNSTORMERS,2026-05-22,2026,11,IFL,Jacksonville Sharks,Iowa Barnstormers,1.0,,,,,,,,1.0,,,,,1.0,2.0,,
