game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_td,kr_yds,pr_no,pr_td,pr_yds,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,3.0,1.0,8.0,52.0,12.0,41.0,,945.0,12.0,1.0,249.0,3.0,15.0,1.0,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,3.0,2.0,11.0,31.0,7.0,9.0,1.0,347.0,3.0,,65.0,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,5.0,17.0,40.0,12.0,18.0,,532.0,1.0,,,,,,
