game_id,date,season,week,league,away,home,interceptions,passing_tds,passing_yards,rushing_tds,rushing_yards
TRITONS-LIBERTY-0328,2025-03-28,2025,3,AF1,SALINA,CORPUS CHRISTI,,,,0.0,4.0
BILLINGS-SALINA-0425,2025-04-25,2025,7,AF1,SALINA,BILLINGS,0.0,0.0,48.0,0.0,5.0
