game_id,date,season,week,league,away,home,completions,interceptions_lost,pass_attempts,passing_tds,passing_yards,rush_attempts,rushing_tds,rushing_yards
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,15.0,,29.0,1.0,182.0,3.0,1.0,2.0
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,8.0,2.0,19.0,,44.0,1.0,,
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,8.0,1.0,11.0,,84.0,,,
