game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,6.0,3.0,2.0,6.0,7.0,4.0,24.0,785.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,18.0,14.0,11.0,61.0,49.0,27.0,981.0
