game_id,date,season,week,league,away,home,1pt_conversion,lost_fumbles,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_STALLIONS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,,,0.0,8.0,1.0,,
SYNTHETIC_USFL_2023_W3_STALLIONS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,,1.0,0.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W8_STALLIONS,2023-06-03,2023,8,USFL,STALLIONS,STARS,,,,0.0,51.0,6.0,,
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,,,,,74.0,8.0,,
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,,,,3.0,70.0,4.0,,
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,,,1.0,66.0,3.0,,
7,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,,,0.0,30.0,3.0,,
10,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,,,0.0,144.0,7.0,,
14,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,,,,0.0,24.0,3.0,,
18,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,,,0.0,33.0,3.0,,
21,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,,,0.0,45.0,2.0,,
26,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,,,,1.0,29.0,4.0,,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,,,1.0,29.0,4.0,0.0,10.0
34,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,,,,0.0,22.0,2.0,,
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,,,0.0,14.0,2.0,,
41,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,,,0.0,19.0,3.0,,
43,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,,,0.0,6.0,1.0,,
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,,0.0,9.0,2.0,,
47,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,,,1.0,84.0,4.0,,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,,,0.0,27.0,2.0,,
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,1.0,,1.0,69.0,3.0,,
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,,,0.0,50.0,5.0,,
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,1.0,0.0,0.0,0.0,,
64,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,,,0.0,46.0,2.0,,
81,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,,,1.0,42.0,5.0,,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,,0.0,63.0,5.0,,
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,,,0.0,16.0,1.0,,
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,1.0,,,2.0,115.0,2.0,,
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,,2.0,55.0,4.0,,
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,1.0,,1.0,61.0,3.0,,
87,2026-03-27,2026,1,UFL,BIRMINGHAM STALLIONS,LOUISVILLE KINGS,,,,0.0,14.0,2.0,,
93,2026-04-05,2026,2,UFL,BIRMINGHAM STALLIONS,HOUSTON GAMBLERS,,,,1.0,40.0,5.0,,
98,2026-04-12,2026,3,UFL,BIRMINGHAM STALLIONS,ST. LOUIS BATTLEHAWKS,,,,1.0,116.0,3.0,,
102,2026-04-18,2026,4,UFL,ORLANDO STORM,BIRMINGHAM STALLIONS,,,,0.0,12.0,3.0,,
103,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,,,,1.0,57.0,5.0,,
110,2026-05-03,2026,6,UFL,BIRMINGHAM STALLIONS,ORLANDO STORM,,,,0.0,0.0,0.0,,
113,2026-05-09,2026,7,UFL,DALLAS RENEGADES,BIRMINGHAM STALLIONS,,,,0.0,13.0,1.0,,
