game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,7.0,3.0,12.0,74.0,57.0,23.0,889.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,10.0,8.0,13.0,62.0,53.0,26.0,913.0,1.0,13.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,4.0,3.0,8.0,10.0,9.0,,,,
