game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,,,21.0,3.0,5.0,,22.0,45.0,,,,,,,,,
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,,,5.0,1.0,2.0,,2.0,5.0,,,,,,,,,
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,,,19.0,5.0,6.0,1.0,13.0,48.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,,,15.0,4.0,6.0,1.0,12.0,35.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,68.0,7.0,8.0,,64.0,118.0,,,,,,,,,
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,11.0,3.0,4.0,,20.0,24.0,,,,,,,,,
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,,,70.0,5.0,5.0,,38.0,84.0,,,,,,,,,
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,,,18.0,6.0,7.0,,22.0,56.0,,,,,,,,,
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,,,11.0,2.0,4.0,,9.0,10.0,,,,,,,,,
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,,,9.0,4.0,5.0,,12.0,18.0,,,,,,,,,
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,,,17.0,2.0,5.0,,9.0,21.0,,,,,,,,,
FOOTBALL_CFL_2016_9_5_EDM@CGY,2016-09-05,2016,1,CFL,EDM,CGY,,,14.0,2.0,4.0,,10.0,24.0,,,,,,,,,
FOOTBALL_CFL_2017_10_14_TOR@EDM,2017-10-14,2017,1,CFL,TOR,EDM,,,20.0,1.0,2.0,,16.0,20.0,,,,,,,,,
FOOTBALL_CFL_2017_10_21_EDM@BC,2017-10-21,2017,1,CFL,EDM,BC,,,14.0,3.0,5.0,1.0,21.0,34.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_28_CGY@EDM,2017-10-28,2017,1,CFL,CGY,EDM,,,,,1.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_11_12_EDM@WPG,2017-11-12,2017,1,CFL,EDM,WPG,1.0,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_11_19_EDM@CGY,2017-11-19,2017,1,CFL,EDM,CGY,,,20.0,2.0,3.0,,20.0,27.0,,,,,,,,,
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,,,3.0,2.0,2.0,,3.0,6.0,,,,,,,,,
FOOTBALL_CFL_2017_6_24_EDM@BC,2017-06-24,2017,1,CFL,EDM,BC,,,10.0,1.0,2.0,,7.0,10.0,,,,,,,,,
FOOTBALL_CFL_2017_7_14_OTT@EDM,2017-07-14,2017,1,CFL,OTT,EDM,,,12.0,3.0,3.0,,20.0,27.0,,,,,,,,,
FOOTBALL_CFL_2017_7_20_EDM@HAM,2017-07-20,2017,1,CFL,EDM,HAM,,,,3.0,4.0,1.0,38.0,44.0,,,,1.0,10.0,10.0,1.0,6.0,1.0
FOOTBALL_CFL_2017_7_28_BC@EDM,2017-07-28,2017,1,CFL,BC,EDM,,,27.0,1.0,1.0,,24.0,27.0,,,,,,,,,
FOOTBALL_CFL_2017_8_10_EDM@OTT,2017-08-10,2017,1,CFL,EDM,OTT,,,11.0,1.0,2.0,,,11.0,,,,,,,,,
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,,,72.0,2.0,4.0,,75.0,80.0,,,,,,,,,
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,13.0,3.0,4.0,,16.0,29.0,,,,,,,,,
FOOTBALL_CFL_2017_8_4_HAM@EDM,2017-08-04,2017,1,CFL,HAM,EDM,,,18.0,2.0,2.0,,20.0,22.0,,,,,,,,,
FOOTBALL_CFL_2017_9_30_WPG@EDM,2017-09-30,2017,1,CFL,WPG,EDM,,,8.0,2.0,4.0,,5.0,14.0,6.0,1.0,6.0,,,,,,
FOOTBALL_CFL_2017_9_4_EDM@CGY,2017-09-04,2017,1,CFL,EDM,CGY,1.0,1.0,10.0,2.0,3.0,,14.0,18.0,,,,,,,,,
FOOTBALL_CFL_2017_9_9_CGY@EDM,2017-09-09,2017,1,CFL,CGY,EDM,,,8.0,1.0,1.0,,5.0,8.0,,,,,,,,,
FOOTBALL_CFL_2018_10_13_BC@CGY,2018-10-13,2018,1,CFL,BC,CGY,,,23.0,3.0,4.0,,6.0,33.0,,,,,,,,,
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,,7.0,2.0,4.0,,3.0,11.0,,,,,,,,,
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,7.0,2.0,4.0,,2.0,12.0,,,,,,,,,
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,,,28.0,4.0,6.0,1.0,38.0,65.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,31.0,3.0,5.0,,18.0,45.0,,,,,,,,,
FOOTBALL_CFL_2018_11_3_CGY@BC,2018-11-03,2018,1,CFL,CGY,BC,,,35.0,4.0,4.0,,4.0,57.0,,,,,,,,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,,2.0,2.0,1.0,2.0,19.0,,,,1.0,-8.0,-8.0,1.0,6.0,1.0
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,46.0,3.0,5.0,,29.0,58.0,,,,,,,,,
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,,,13.0,2.0,3.0,,9.0,25.0,,,,,,,,,
FOOTBALL_CFL_2018_7_20_BC@OTT,2018-07-20,2018,1,CFL,BC,OTT,,,,,2.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,1.0,1.0,6.0,3.0,3.0,,7.0,14.0,,,,,,,,,
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,,,9.0,1.0,2.0,,,9.0,,,,,,,,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,15.0,1.0,1.0,,14.0,15.0,,,,,,,,,
FOOTBALL_CFL_2018_8_4_BC@CGY,2018-08-04,2018,1,CFL,BC,CGY,,,4.0,1.0,3.0,,1.0,4.0,,,,,,,,,
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,,7.0,1.0,1.0,,6.0,7.0,,,,,,,,,
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,,15.0,5.0,6.0,1.0,23.0,42.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,,10.0,3.0,3.0,,6.0,27.0,,,,,,,,,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,,,8.0,1.0,2.0,,2.0,8.0,,,,,,,,,
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,12.0,6.0,7.0,,19.0,54.0,,,,,,,,,
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,,,4.0,2.0,2.0,,,6.0,,,,,,,,,
FOOTBALL_CFL_2019_10_26_SSK@EDM,2019-10-26,2019,1,CFL,SSK,EDM,1.0,1.0,5.0,1.0,1.0,,1.0,5.0,,,,,,,,,
FOOTBALL_CFL_2019_10_5_WPG@SSK,2019-10-05,2019,1,CFL,WPG,SSK,,,9.0,3.0,4.0,,5.0,15.0,,,,,,,,,
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,1.0,1.0,45.0,3.0,5.0,,21.0,62.0,,,,,,,,,
