game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,0.5,7.0,5.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,8.0,6.0
