game_id,date,season,week,league,away,home,def_ff,def_pd,def_sacks,def_tackles,gp,rush_att
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,,1.5,13.0,6.0,1.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,2.0,1.0,13.0,11.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,3.0,3.0,27.0,12.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,3.0,4.0,8.0,52.0,12.0,
