game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W2_NJ,,,2,USFL,,,,,,,,,0.0,8.0,1.0,,
SYNTHETIC_USFL_W5_NJ,,,5,USFL,,,,,,,,,0.0,25.0,1.0,,
SYNTHETIC_USFL_W6_NJ,,,6,USFL,,,,0.0,,0.0,14.0,,,,,,
SYNTHETIC_USFL_W8_NJ,,,8,USFL,,,0.0,,,,,,,,,,
SYNTHETIC_USFL_W9_NJ,,,9,USFL,,,,,,,,,,,,1.0,24.0
SYNTHETIC_USFL_W10_NJ,,,10,USFL,,,,,,,,,0.0,5.0,1.0,,
SYNTHETIC_USFL_W11_NJ,,,11,USFL,,,,,1.0,,,,,,,,
SYNTHETIC_USFL_2023_W1_GENERALS,,2023,1,USFL,,,,,,,,,0.0,55.0,5.0,0.0,0.0
SYNTHETIC_USFL_2023_W2_GENERALS,,2023,2,USFL,,,,,,,,,1.0,57.0,4.0,,
SYNTHETIC_USFL_2023_W3_GENERALS,,2023,3,USFL,,,,,,,,,0.0,23.0,3.0,,
SYNTHETIC_USFL_2023_W4_GENERALS,,2023,4,USFL,,,,,,,,,1.0,71.0,2.0,,
SYNTHETIC_USFL_2023_W5_GENERALS,,2023,5,USFL,,,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W6_GENERALS,,2023,6,USFL,,,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W7_GENERALS,,2023,7,USFL,,,,,,,,,0.0,43.0,2.0,,
SYNTHETIC_USFL_2023_W8_GENERALS,,2023,8,USFL,,,,,,,,,0.0,16.0,1.0,,
SYNTHETIC_USFL_2023_W9_GENERALS,,2023,9,USFL,,,,,,,14.0,1.0,0.0,13.0,4.0,,
SYNTHETIC_USFL_2023_W10_GENERALS,,2023,10,USFL,,,,,,,,,0.0,17.0,2.0,,
