game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
cricket-t20i-2018-08-21-1158349,2018-08-21,2018,1,T20I,Mozambique,Lesotho,,,,,,,18.0,0.0,0.0,18.0,0.0,3.0,1.0
cricket-t20i-2018-08-21-1158350,2018-08-21,2018,1,T20I,Mozambique,Botswana,,,,,,,10.0,0.0,0.0,12.0,0.0,1.0,1.0
cricket-t20i-2018-08-23-1158353,2018-08-23,2018,1,T20I,Mozambique,Namibia,1.0,0.0,1.0,10.0,0.0,0.0,,,,,,,1.0
cricket-t20i-2019-05-05-1182642,2019-05-05,2019,1,T20I,Zimbabwe,Mozambique,9.0,0.0,1.0,10.0,1.0,0.0,18.0,0.0,0.0,31.0,1.0,6.0,1.0
cricket-t20i-2019-05-06-1182646,2019-05-06,2019,1,T20I,Mozambique,Nigeria,,,,,,,6.0,0.0,0.0,12.0,0.0,3.0,1.0
cricket-t20i-2021-09-09-1275104,2021-09-09,2021,1,T20I,Mozambique,Rwanda,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,4.0,1.0
cricket-t20i-2021-09-10-1275110,2021-09-10,2021,1,T20I,Botswana,Mozambique,35.0,0.0,0.0,2.0,4.0,0.0,24.0,0.0,0.0,21.0,1.0,1.0,1.0
cricket-t20i-2021-09-11-1275114,2021-09-11,2021,1,T20I,Tanzania,Mozambique,23.0,1.0,1.0,5.0,6.0,0.0,24.0,0.0,2.0,58.0,1.0,6.0,1.0
cricket-t20i-2021-09-16-1275126,2021-09-16,2021,1,T20I,Mozambique,Eswatini,54.0,0.0,1.0,5.0,33.0,0.0,24.0,1.0,0.0,6.0,1.0,0.0,1.0
cricket-t20i-2023-09-02-1394919,2023-09-02,2023,1,T20I,Mozambique,Eswatini,,,,,,,18.0,0.0,2.0,20.0,2.0,2.0,1.0
cricket-t20i-2023-09-03-1394923,2023-09-03,2023,1,T20I,Mozambique,Sierra Leone,21.0,0.0,0.0,7.0,9.0,0.0,18.0,0.0,1.0,28.0,0.0,2.0,1.0
cricket-t20i-2023-09-05-1394925,2023-09-05,2023,1,T20I,Cameroon,Mozambique,8.0,0.0,0.0,6.0,1.0,0.0,24.0,0.0,0.0,24.0,0.0,3.0,1.0
cricket-t20i-2025-07-20-1494127,2025-07-20,2025,1,T20I,Sierra Leone,Mozambique,4.0,0.0,0.0,10.0,1.0,0.0,23.0,0.0,0.0,33.0,3.0,3.0,1.0
cricket-t20i-2025-07-21-1494128,2025-07-21,2025,1,T20I,Mozambique,Botswana,22.0,0.0,1.0,10.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0
cricket-t20i-2025-07-23-1494133,2025-07-23,2025,1,T20I,Mozambique,Eswatini,,,,,,,24.0,1.0,1.0,15.0,2.0,1.0,1.0
cricket-t20i-2025-07-24-1494138,2025-07-24,2025,1,T20I,Lesotho,Mozambique,,,,,,,24.0,0.0,0.0,11.0,1.0,4.0,1.0
cricket-t20i-2025-07-26-1494142,2025-07-26,2025,1,T20I,Mozambique,Cameroon,2.0,1.0,1.0,10.0,5.0,0.0,24.0,0.0,0.0,13.0,4.0,0.0,1.0
