game_id,date,season,week,league,away,home,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,11.0,2.0,,7.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,6.0,3.0,1.0,30.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,12.0,5.0,1.0,57.0
