game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,,,,1.0,9.0,6.0,,22.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,6.0,,,,1.0,2.0,18.0,1.0,72.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,9.0,1.0,1.0,3.0,,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,9.0,,,,,,,,
