game_id,date,season,week,league,away,home,fielding_catches,fielding_runouts,match_played
cricket-t20i-2025-06-04-1485407,2025-06-04,2025,1,T20I,Philippines,China,,2.0,1.0
cricket-t20i-2025-06-05-1485409,2025-06-05,2025,1,T20I,Mongolia,China,1.0,,1.0
