game_id,date,season,week,league,away,home,gp,recv_rec,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,4.0,1.0,7.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,4.0,10.0,84.0
