game_id,date,season,week,league,away,home,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,57.0,10.0,8.0,46.0,,401.0,,,,1.0,,,,,,
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,70.0,3.0,3.0,59.0,,203.0,,,,7.0,1.0,1.0,35.0,5.0,2.0,2.0
FOOTBALL_CFL_2018_6_23_CGY@TOR,2018-06-23,2018,1,CFL,CGY,TOR,69.0,2.0,2.0,44.0,1.0,130.0,,,,1.0,,,,,,
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,73.0,2.0,2.0,47.0,,131.0,,,,7.0,2.0,2.0,42.0,6.0,,
FOOTBALL_CFL_2018_7_21_WPG@TOR,2018-07-21,2018,1,CFL,WPG,TOR,63.0,3.0,3.0,40.0,,166.0,,,,4.0,1.0,1.0,31.0,3.0,,
FOOTBALL_CFL_2018_7_27_TOR@WPG,2018-07-27,2018,1,CFL,TOR,WPG,68.0,2.0,2.0,76.0,,130.0,,,,2.0,,,,1.0,1.0,1.0
FOOTBALL_CFL_2018_7_7_EDM@TOR,2018-07-07,2018,1,CFL,EDM,TOR,69.0,4.0,4.0,98.0,,262.0,,,,,,,,,1.0,
FOOTBALL_CFL_2019_10_11_OTT@TOR,2019-10-11,2019,1,CFL,OTT,TOR,53.0,5.0,3.0,23.0,,241.0,,,,1.0,,,,,,
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,55.0,6.0,3.0,13.0,,244.0,,,,,,,,,,
FOOTBALL_CFL_2019_10_26_OTT@TOR,2019-10-26,2019,1,CFL,OTT,TOR,61.0,7.0,5.0,24.0,,314.0,,,,,,,,,,
FOOTBALL_CFL_2019_10_5_TOR@BC,2019-10-05,2019,1,CFL,TOR,BC,55.0,7.0,7.0,50.0,,343.0,,,,,,,,,,
FOOTBALL_CFL_2019_11_2_TOR@HAM,2019-11-02,2019,1,CFL,TOR,HAM,49.0,8.0,6.0,77.0,,290.0,,,,1.0,,,,,,
FOOTBALL_CFL_2019_6_22_HAM@TOR,2019-06-22,2019,1,CFL,HAM,TOR,55.0,5.0,4.0,52.0,,233.0,,,,,,,,,,
FOOTBALL_CFL_2019_8_16_EDM@TOR,2019-08-16,2019,1,CFL,EDM,TOR,47.0,5.0,5.0,41.0,,208.0,,,,,,,,,,
FOOTBALL_CFL_2019_8_25_MTL@TOR,2019-08-25,2019,1,CFL,MTL,TOR,54.0,6.0,6.0,41.0,,288.0,,,,,,,,,,
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,56.0,8.0,8.0,46.0,,395.0,,,,,,,,,,
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,59.0,6.0,5.0,56.0,,275.0,,,,,,,,,,
FOOTBALL_CFL_2019_9_2_TOR@HAM,2019-09-02,2019,1,CFL,TOR,HAM,58.0,8.0,6.0,31.0,,341.0,,,,,,,,,,
FOOTBALL_CFL_2019_9_7_TOR@OTT,2019-09-07,2019,1,CFL,TOR,OTT,58.0,5.0,5.0,61.0,,240.0,1.0,13.0,13.0,,,,,,,
