game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,,,,24.0,2.0,40.0,,,,,,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,,,,,,,,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2018_7_21_MTL@CGY,2018-07-21,2018,1,CFL,MTL,CGY,8.0,1.0,1.0,3.0,8.0,32.0,1.0,32.0,,,,,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,,,,24.0,4.0,72.0,1.0,,1.0,5.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,13.0,1.0,1.0,12.0,13.0,11.0,1.0,11.0,,,,,,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,,,,,,26.0,1.0,26.0,,,,,,,
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,,,,18.0,1.0,18.0,3.0,4.0,,6.0,,,
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,3.0,1.0,1.0,3.0,3.0,,,,14.0,21.0,,81.0,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,,,,,,,2.0,6.0,,7.0,,,
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,,,,,26.0,1.0,26.0,1.0,5.0,,5.0,,,
FOOTBALL_CFL_2018_9_21_MTL@WPG,2018-09-21,2018,1,CFL,MTL,WPG,5.0,1.0,1.0,5.0,5.0,,,,3.0,11.0,,11.0,,,
